Title,Company_Name,Type,Colour ,orginal_price,dicounted_price,Discount,Rating,Location
Headphone With Mic - White,Headphone,Earphone,White,150,80,-47%,-1,Bangladesh
QKZ DM6 3.5mm Wired Headphones Copper Driver Stereo HiFi Earphone Bass Earbuds Music Sport Earphones Games Headsets,QKZ,In-Ear,Red,450,255,-43%,,Bangladesh
Realme Fashion Hd sond Buds 2 plus in ear Earphone/earphone/headphones/ear phones,Realme,In-Ear,Black,135,92,-32%,-1,Bangladesh
Oppo Ear phone Head phone For Phones 3.5mm Jack with Mic best bazz White Colour,Oppo,Earphone,baby pink,,155,,-1,Free Shipping
For Sumsang Ear phone Head phone For Phones 3.5mm Jack with Mic best bazz White Colour,For,Wireless,Active black,,166,,-5,Bangladesh
Lenovo QF320 Wired Headphones Noise Canceling In-Ear Headset Wired Earphones with Mic Earbuds In-line Control HiFi Sound Quality,Lenovo,In-Ear,White,500,229,-54%,,Bangladesh
SONY MDR-XB450 Over The Ear Extra Bass Headphone,SONY,Earphoone,Red,750,350,-53%,-3,Bangladesh
Lenovo HE05 Bluetooth Headphones Wireless Headsets Sport,Lenovo,In-Ear,Black,1400,449,-68%,-2,Bangladesh
Wireless Blutooth Headphone P47,Wireless,Wireless,baby pink,990,420,-58%,-34,Bangladesh
Trovella BD-Wired Headphones LS-802,Trovella,Earphone,Active black,1200,445,-63%,-1,Bangladesh
Super Bass Headphones Ear Hook,Super,In-Ear,White,220,132,-40%,-6,Bangladesh
QKZ AK6-X 3.5mm Wired Headphones In-ear Dynamic Earbuds Super Bass Music Earphone Sports Headset with Microphone,QKZ,In-Ear,Red,804,519,-35%,,Free Shipping
Business Bluetooth Earphone Wireless Stereo Sport Headset with Mic Earbuds Handsfree Headphones for Smart Phone Earpiece,Business,Earphone,Black,200,185,-8%,-2,Bangladesh
SONY_MDR-XB450 Over The Ear Extra Bass Headphone,SONY_MDR-XB450,Wireless,baby pink,500,199,-60%,,Bangladesh
Music U19 Earphone Colorful Matte Earbuds Stereo Wired Earphones with Microphone,Music,In-Ear,Active black,150,72,-52%,-2,Bangladesh
KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones In Ear Earphone For Running With Microphone game Headset,KZ,Earphoone,White,450,360,-20%,-1,Free Shipping
For Uiisii C100 Super Bass Stereo Earbuds Earphones Headphones with Mic,For,In-Ear,Red,300,185,-38%,,Free Shipping
Lenovo HF130 Wired Headphones 3.5mm In-ear Earplug Heavy Subwoofer Stereo Sport Earphones with Mic Headset,Lenovo,Wireless,Black,500,227,-55%,,Free Shipping
New i11 TWS,New,Earphone,baby pink,899,329,-63%,-7,Bangladesh
OppoEar phone Head phone For Phones 3.5mm Jack with Mic best bazz White Colou,OppoEar,In-Ear,Active black,,133,,-5,Bangladesh
PRO 5 Tws  Bluetooth Earphones Wireless Headset Headphones Stereo Erbuds,PRO,In-Ear,White,2000,620,-69%,-1,Bangladesh
Wiresto BT69 Gaming In-Ear Headphones Wireless Neckband Earphone LED Bluetooth 5.0 Earphone Low Latency HD Stereo Surround Sound IPX5 Waterproof,Wiresto,Earphone,Red,1303,819,-37%,-29,Free Shipping
Vivo/RrealMe/Oppo In Ear Earphone Best Sound Quality for any Android - White,Vivo/RrealMe/Oppo,Wireless,Black,199,111,-44%,-1,Bangladesh
JFKDX 3.5mm Jack In-Ear Headphones Earphone Wired Earbuds Sports Stereo Headset Music Headphone HIFI Sound Quality with HD Microphone for ip Samsung Oppo Vivo,JFKDX,In-Ear,baby pink,480,288,-40%,-1,Free Shipping
UGREEN_Lightning Earphone (MFi Certified),UGREEN_Lightning,Earphoone,Active black,2799,2499,-11%,,Bangladesh
Vivo In Ear Earphone Best Sound quality - White,Vivo,In-Ear,White,150,149,-1%,,Bangladesh
Lenovo HF140 Wired Earbuds Headphones with Microphone and Volume Control Powerful Bass Sound Noise Isolating Earphones,Lenovo,Wireless,Red,740,458,-38%,-1,Free Shipping
Bay 1 Get 1 free best  In-Ear Headphone Earphone For Smartphone,Bay,Earphone,Black,140,100,-29%,-4,Bangladesh
Super Bass Headphones Ear Hook,Super,In-Ear,baby pink,320,141,-56%,-7,Bangladesh
UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone With Pouch,UiiSii,In-Ear,Active black,575,370,-36%,-1,Bangladesh
CCA CRA Hanging In Ear Wired HiFi Headset Monitor Headphones,CCA,Earphone,White,1500,1450,-3%,,Bangladesh
MDR-XB450 Over The Ear Extra Bass Headphone - Black,MDR-XB450,Wireless,Red,450,275,-39%,,Bangladesh
UiiSii HM7 In-ear Earphones Super Bass Stereoheadphone with Microphone,UiiSii,In-Ear,Black,600,480,-20%,,Bangladesh
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,Earphoone,baby pink,299,120,-60%,,Bangladesh
KM K98 Latest High Quality Metal 3.5MM interface wire control universal earphones in-ear subwoofer mobile phone universal high-end headphones,KM,In-Ear,Active black,550,249,-55%,,Free Shipping
Samsung in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,Samsung,Wireless,White,170,75,-56%,,Bangladesh
Vivo/Realme/Samsung/Oppo In Ear Earphone Best Sound quality for any Android - (White),Vivo/Realme/Samsung/Oppo,Earphone,Red,170,75,-56%,,Bangladesh
3.5mm In Ear Earphone With Mic Stereo Wired Earbuds Headphones Gaming Headset,3.5mm,In-Ear,Black,267,156,-42%,,Free Shipping
Lenovo SH1 Wireless Earphone BT 5.0 Headset IPX5 Waterproof Magnetic Neckband Earbuds Sport Headphones With Mic,Lenovo,In-Ear,baby pink,954,718,-25%,,China
3.5mm Wired Headphones Portable Stereo Music in-Ear Sports Earphone with Mic,3.5mm,Earphone,Active black,299,229,-23%,,Free Shipping
For Realme Mi In-ear Earphone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Smartphones,For,Wireless,White,170,75,-56%,,Bangladesh
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,In-Ear,Red,250,120,-52%,,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For All Android - White Color,Oppo,Earphoone,Black,250,89,-64%,,Free Shipping
7.1 Stereo Earphones Mic Headphone In-ear game Wired Headphones Bass Wired Earphone Earbud Phone Headset With Call N720,7.1,In-Ear,baby pink,499,399,-20%,,Free Shipping
Replace Ear Pads Cushion Parts for Crusher 3.0 Headphones,Replace,Wireless,Active black,478,378,-21%,,Free Shipping
FORIDE Bluetooth Earphone HBQ-525 Wireless Headphones Stereo Handsfree Noise Canceling Headset with Mic for All Smart Phone,FORIDE,Earphone,White,2647,1463,-45%,,Free Shipping
Lv life 100% New Lenovo PD1X HiFi Music Earphone Wireless Bluetooth Earbuds With Mic Headphones Sports Waterproof Headset,Lv,In-Ear,Red,1912,1068,-44%,,China
NYT In-Ear Headphones Earphone Diamond Wire-Controlled Headset Metal Heavy Bass Noise Canceling Earphones 3.5Mm Sports In-Ear Earphone Hifi Sound Earphone With Mic,NYT,In-Ear,Black,517,351,-32%,,China
Macaron Colorful 3.5mm HIFI Headset Over Ear 1.2m Wired Earphones,Macaron,Earphone,baby pink,238,136,-43%,,Free Shipping
Vivo Wired in-Ear Headphones Compatible with Especially All Smartphones (White),Vivo,Wireless,Active black,160,75,-53%,,Bangladesh
Uiisii HM9 in ear deep bass earphones with mic Authenticated Product BY UiiSii -Metal,Uiisii,In-Ear,White,500,360,-28%,,Free Shipping
Langsdom MJ61 In-Ear Round Wire Headphones,Langsdom,Earphoone,Red,358,250,-30%,,Free Shipping
3.5mm Wired Bass Stereo Headphones for Music Sports Video Games Earbuds with Microphone Earphones,3.5mm,In-Ear,Black,263,151,-43%,,Free Shipping
TWS i7s Double Dual Mini Earphone With Power Case-White,TWS,Wireless,baby pink,450,270,-40%,-1,Bangladesh
Oneplus Earphone for any Android all mobile supported/ ear phone/ head phone/earphones/headphones,Oneplus,Earphone,Active black,135,96,-29%,-1,Bangladesh
PLEXTONE G30 In Ear Earphone Headphone Gaming Earphones Stereo Computer Game Headphones With Mic PC Gamer Headset for Mobile Phone PS4 New Xbox One,PLEXTONE,In-Ear,White,1050,1030,-2%,-2,Free Shipping
Wiresto D06 In Ear Headphones Earphone Wired Earphone Earbuds HiFi Earphones Stereo Earphones Noise Canceling Headphone No Ear Pain Headphones with HD Microphone Free Box,Wiresto,In-Ear,Red,928,589,-37%,-6,Free Shipping
Vivo In Ear Earphone Best Music Sound Quality For All Android Headphone - White Color,Vivo,Earphone,Black,150,90,-40%,-17,Bangladesh
Universal 3.5mm Super Bass Earphone In-Ear Braided  Wire Headset Stereo Wired Control  Sport Earphones,Universal,Wireless,baby pink,509,333,-35%,-1,Free Shipping
Sports Bluetooth Headphone- Wireless Earphones- S6 Waterproof Bluetooth Earphone -Stereo Bass Headset with Mic for Samsung Xiaomi,Sports,In-Ear,Active black,348,199,-43%,,Free Shipping
Vivo In Ear Earphone Best Sound quality for any Android - White(Buy 1 get 1 free),Vivo,Earphoone,White,200,99,-51%,-1,Bangladesh
"Logitech H151 Wired Headset, Stereo Headphones with Rotating Noise-Cancelling Microphone, 3.5 mm Audio Jack, In-Line Controls",Logitech,In-Ear,Red,,1949,,-26,Free Shipping
Uiisii HM13 In-Ear Headphones,Uiisii,Wireless,Black,500,320,-36%,-7,Bangladesh
Wiresto Bluetooth 5.0 Earphones In Ear Headphones Wireless Earbuds Heavy Bass Headset Soundproof Earplugs Noise Canceling HIFI Sound Quality Subwoofer Earphone HD Microphone with Free Storage Bag,Wiresto,Earphone,baby pink,1063,709,-33%,-9,Free Shipping
Kin K-28 perfect sound high quality super bass Headphones With Mic,Kin,In-Ear,Active black,350,96,-73%,-1,Bangladesh
Awei S80vi Wired In-ear Headphones Earphones Headset,Awei,In-Ear,White,800,342,-57%,,Free Shipping
Vivo Headphone 1 pic only 55 taka,Vivo,Earphone,Red,123,53,-57%,,Bangladesh
Baseus D02 Pro Wireless Headphones Sport Bluetooth 5.0 Earphone Handsfree Headset Ear Buds Head Phone Earbuds For iPhone Xiaomi,Baseus,Wireless,Black,6684,3359,-50%,-313,China
Plextone X56M Type-C Wired In-Ear Headphones,Plextone,In-Ear,baby pink,1000,565,-44%,-1,Free Shipping
Remax RM 512 metallic in-ear headphones wired sports earphone with mic Microphone earphone,Remax,Earphoone,Active black,400,115,-71%,-1,Bangladesh
Remax RM-512 In-Ear Headphones,Remax,In-Ear,White,350,159,-55%,-6,Free Shipping
M32 Wireless Earphones TWS Headphones Noise Cancelling Waterproof LED Display Screen In-ear Headset,M32,Wireless,Red,2000,850,-58%,-1,Free Shipping
HIFI in Ear Black and White D21 Stereo Wired earphone headphone headset,HIFI,Earphone,Black,,44,,-1,Bangladesh
Oppo In Ear Earphone Good Bass Sound Quality For All Android - White Color,Oppo,In-Ear,baby pink,,160,,-1,Bangladesh
3.5mm Combo Headset to Microphone and Headphone Y-Splitter Cable,3.5mm,In-Ear,Active black,175,165,-6%,-1,Bangladesh
Vlike VK-820 Music Wired Earphones with Mic and Volume Control for Mobiles and Computers Wired Heads,Vlike,Earphone,White,350,199,-43%,-4,Free Shipping
AWEI PC-2 In-Ear Earphones Wired Deep Bass Headphones,AWEI,Wireless,Red,590,199,-66%,-2,Bangladesh
buy 1 get 1 Vivo In Ear Earphone Best Sound quality with free one - White,buy,In-Ear,Black,220,99,-55%,,Bangladesh
Sports Bass Hi-Fi Audio Powerful Bass Blast Earphones - White & Black,Sports,Earphoone,baby pink,150,80,-47%,-1,Free Shipping
UiiSii HM12 earphone with ear-in noise reduction L metal plug stereo subwoofer music game earphone with microphone & pouch,UiiSii,In-Ear,Active black,500,329,-34%,-5,Bangladesh
TRN 0.75mm/0.78mm/MMCX Replace Braided Wired Earphone Headphones Cable Cord Wire,TRN,Wireless,White,1053,585,-44%,-9,China
TWS Wireless Earbuds Bluetooth 5.0 Earphones Stereo In-Ear Headphones For Xiaomi Samsung Phone,TWS,Earphone,Red,1946,1126,-42%,-4,Free Shipping
KZ ED9 Rich Bass Headphones HIFI Stereo Headsets Earphones with Mic,KZ,In-Ear,Black,,1300,,,Free Shipping
Super Bass High Quality Earphone for Mi | In-ear Earphone with Good Bass Sound Quality for All Android Mobile Phone | High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with Vivo / Oppo / Realme / Xiaomi / Vivo Smartphones,Super,In-Ear,baby pink,175,100,-43%,,Bangladesh
M28 TWS Low Latency Earbuds Gaming Earphones Touch Control Bluetooth 5.1 Wireless Headphones With Mirror Screen Mini LED Display M28 TWS Low Latency Earbuds Gaming Earphones Touch Control Bluetooth 5.1 Wireless Headphones With Mirror Screen,M28,Earphone,Active black,1099,783,-29%,-8,Bangladesh
OPPO R15 Headphon,OPPO,Wireless,White,411,120,-71%,-6,Free Shipping
Ecocc Vido soundtrack stereo headset game headset bass bass noise headphones Music Earphones,Ecocc,In-Ear,Red,1173,574,-51%,-9,China
Overfly Bluetooth Headphones Metal Magnetic Sports Headsets Stereo Music Earbuds Wireless Bluetooth Earphones for Mobile Phone,Overfly,Earphoone,Black,,165,,-1,Free Shipping
UiiSii HM13 In-Ear gaming Headset with Microphone,UiiSii,In-Ear,baby pink,700,319,-54%,-2,Bangladesh
Lenovo HE08 Wireless Headphones Neck Hanging Handsfree Earbuds Earphones with Mic Mini Smart Bluetooth 5.0 In-Ear Music Headset,Lenovo,Wireless,Active black,1200,725,-40%,-5,Free Shipping
Lenovo XF06 3.5mm Wired Headphones In-ear Headset Stereo Music Earphone Smart Phone Earbuds In-line Control With Microphone Hot,Lenovo,Earphone,White,1046,738,-29%,-1,Free Shipping
Headphones SONY MDR-450AP EXTRA BASS Stereo Surround Sound Headphone HIFI Headset OEM,Headphones,In-Ear,Red,750,265,-65%,-1,Free Shipping
PLEXTONE G3 Gaming Headset with Mic In Ear low latency Noise Cancelling Wireless Earphone Game 3D Sound Effect Detachable Mic Earphone Wireless Headset V5.0 Gaming Earphone With Long Mic,PLEXTONE,In-Ear,Black,2450,1390,-43%,-2,Free Shipping
AULA S603 Gaming Headphones Wired Headset Gamer Headphones Deep Bass Stereo Earphone with Microphone for PC Computer PS4 Laptop,AULA,Earphone,baby pink,1500,975,-35%,-29,Free Shipping
Oraimo Strong Bass Earphone  Single Button Control 3.5mm  In-Ear Headphones Black & White,Oraimo,Wireless,Active black,80,65,-19%,-1,Bangladesh
Lenovo HF130 Wired Headphones 3.5mm In-ear Earplug Heavy Subwoofer Stereo Sport Earphones with Mic Headset,Lenovo,In-Ear,White,400,223,-44%,,Bangladesh
QKZ DM11 HEADPHONES MAGNETIC STEREO BASS METAL IN-EAR HEADPHONES NOISE CANCELING HEADPHONES DJ IN-EAR HEADPHONES HIFI EAR PHONE,QKZ,Earphoone,Red,999,489,-51%,-25,Free Shipping
Wiresto G28 Gaming Earphones Wired Earphones Noise Cancelling Stereo Computer Gamer Headphones with Dual Mic for Mobile Phone PS4 One Free Case,Wiresto,In-Ear,Black,883,559,-37%,-38,Free Shipping
UiiSii HM12 Gaming Headset Good Treble Earphone,UiiSii,Wireless,baby pink,1200,368,-69%,-1,Bangladesh
Sleep Headphones Bluetooth Headband-Wireless Sports Headband Headphones with Ultra-Soft Music Headband,Sleep,Earphone,Active black,1220,850,-30%,-4,Free Shipping
Lenovo HE08 Wireless Headphones Neck Hanging Handsfree Earbuds Earphones with Mic Mini Smart Bluetooth 5.0 In-Ear Music Headset,Lenovo,In-Ear,White,1399,742,-47%,-71,Free Shipping
Mi In Ear Pro HD Headphones - Black,Mi,In-Ear,Red,800,199,-75%,-2,Bangladesh
UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone,UiiSii,Earphone,Black,850,399,-53%,-6,Bangladesh
UiiSii HM12 Deep Bass Good Treble Earphones || Headphones,UiiSii,Wireless,baby pink,650,500,-23%,-1,Bangladesh
Lenovo HF130 Wired Headphones 3.5mm In-ear Earplug Heavy Subwoofer Stereo Sport Earphones with Mic Headset,Lenovo,In-Ear,Active black,500,229,-54%,,Bangladesh
For Sumsang Ear phone Head phone For Phones 3.5mm Jack with Mic best bazz White Colou,For,Earphoone,White,,122,,-2,Bangladesh
Lenovo XF06 3.5mm Wired Headphones In-Ear Headset Stereo Music Earphone Smart Phone Earbuds In-line Control with Microphone,Lenovo,In-Ear,Red,520,348,-33%,-2,Free Shipping
REMAX RM-711 In Ear Earphones Mobile Phone Earphone With Mic Noise Reduction Sound Insulation,REMAX,Wireless,Black,550,239,-57%,-1,Bangladesh
Lenovo HF130 Wired Headphones 3.5mm In-ear Earplug Heavy Subwoofer Stereo Sport Earphones with Mic Headset,Lenovo,Earphone,baby pink,500,226,-55%,,Bangladesh
Lenovo QF320 Wired Headphones Noise Canceling In-Ear Headset Wired Earphones with Mic Earbuds In-line Control HiFi Sound Quality,Lenovo,In-Ear,Active black,500,227,-55%,,Bangladesh
MDR-XB450 Over The Ear Extra Bass Headphone,MDR-XB450,In-Ear,White,500,249,-50%,-1,Bangladesh
"Uiisii C100 Super bass Stereo in ear headphones, black.",Uiisii,Earphone,Red,395,175,-56%,-1,Free Shipping
Fantech HG20 RGB Wired Black Gaming Headphone,Fantech,Wireless,Black,1740,1500,-14%,-8,Bangladesh
Mi 8/Realme 80 Magnet earphone M8 For Best Music Sound MI M8 Headphone,Mi,In-Ear,baby pink,120,59,-51%,-5,Bangladesh
QKZ DM9 Zink Alloy HiFi In-Ear Headphone,QKZ,Earphoone,Active black,,543,,-2,Bangladesh
QKZ AK6 HiFi Sports Running In-Ear Headphones Music Headphones With Microphone and Wheat Subwoofer,QKZ,In-Ear,White,900,880,-2%,,Bangladesh
KZ EDX PRO 1DD Dynamic Drive Earphones HIFI Bass Music Earbud Sport Noise Cancelling Headset Headphones,KZ,Wireless,Red,1450,949,-35%,-2,Bangladesh
TZY in Ear Wired Headphones with Microphone Ergonomic Comfort,TZY,Earphone,Black,250,185,-26%,-1,Bangladesh
Universal 3.5mm Sports Wired Headset Earphone Any Mobile Phone Support - Black & White,Universal,In-Ear,baby pink,150,75,-50%,-3,Free Shipping
In-Ear Headphones New (2022),In-Ear,In-Ear,Active black,150,99,-34%,-2,Bangladesh
HBQ i7s TWC Twin Wireless Headphones Mini Bluetooth V4.2 Stereo Headset Earphone -Black,HBQ,Earphone,White,650,300,-54%,-1,Bangladesh
Bass Heads M520 Universal Earphone Bass Heads With Mic Headphones,Bass,Wireless,Red,190,99,-48%,-2,Bangladesh
Oppo-Vivo-Mi-Realme-Samsung In Ear Earphone Best Bass Sound Quality For All Android - White Color,Oppo-Vivo-Mi-Realme-Samsung,In-Ear,Black,322,165,-49%,-1,Bangladesh
Plextone G15 In-Ear Gaming Headphones,Plextone,Earphoone,baby pink,,699,,-1,Bangladesh
QKZ DT1 Zinc Alloy In-Ear HiFi Headphones with Microphone,QKZ,In-Ear,Active black,750,311,-59%,-11,Free Shipping
Xiaomi Mi In Ear Headphones Pro 2,Xiaomi,Wireless,White,1800,1659,-8%,,Free Shipping
UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - With Pouch,UiiSii,Earphone,Red,,300,,-1,Bangladesh
KZ ED9 Rich Bass Headphones HIFI Stereo Headsets Earphones with Mic,KZ,In-Ear,Black,1300,1115,-14%,,Bangladesh
UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,UiiSii,In-Ear,baby pink,950,440,-54%,-1,Bangladesh
UiiSii HM12 Gaming Headset On-Ear Earphone Deep Bass Good Treble Headphone With Pouch - Black,UiiSii,Earphone,Active black,550,375,-32%,-3,Bangladesh
Lenovo HE08 Dual Dynamic Neckband Wireless Sports Headphones New Upgrade 4 Speakers HIFI Stereo HD Call Waterproof Neckband,Lenovo,Wireless,White,2200,785,-64%,-3,Bangladesh
Black Kubite T-803 Wired Over Ear Headphones Studio Monitor & Mixing DJ Stereo Headsets with 50mm Neodymium Drivers 3.5mm Convert to 6.5mm Audio Jack for AMP Computer Recording Phone Piano Guitar Black,Black,In-Ear,Red,3620,2507,-31%,,China
Creative High Bass Audio Earphone with Pouch EP-530 - Black,Creative,Earphoone,Black,550,190,-65%,-8,Bangladesh
Havit H206d 3.5mm double plug Stereo with Mic Headset for Computer,Havit,In-Ear,baby pink,680,630,-7%,-4,Bangladesh
CREATIVE EP 530 In-ear Wired Earphone With MIC,CREATIVE,Wireless,Active black,290,185,-36%,-1,Bangladesh
Ear phone Head phone For Phones 3.5mm Jack with Mic best bazz,Ear,Earphone,White,,111,,-3,Bangladesh
3C Home In-Ear BT 5.0 Headphones Running Earphones Noise Cancelling Handsfree,3C,In-Ear,Red,636,499,-22%,-1,China
Premium Quality CREATIVE EP-530_Earphone with Mic,Premium,In-Ear,Black,200,165,-18%,-2,Bangladesh
Lenovo HF140 Wired Earphones 3.5mm Super Bass Stereo Metal In-ear Earphone with Mic Noise Cancelling Music Headsets,Lenovo,Earphone,baby pink,700,342,-51%,,Free Shipping
Oraimo OEP-E10 Strong Bass Earphone Stereo Headphones,Oraimo,Wireless,Active black,130,49,-62%,-1,Bangladesh
1 টি কিনলে 1 টি vivo ইন ইয়ার ইয়ারফোন সেরা সাউন্ড কোয়ালিটি সাথে ফ্রি ওয়ান-সাদা,1,In-Ear,White,230,99,-57%,,Bangladesh
Premium Quality CREATIVE EP-530_Earphone with Mic,Premium,Earphoone,Red,200,165,-18%,-4,Bangladesh
Earphone OnePlus Bullers Earphone V2,Earphone,In-Ear,Black,120,60,-50%,-11,Bangladesh
Wireless Headphones V5.1 Bluetooth-Compatible Earphones Wireless Neckband Earphone Sport Headset with Mic Bass Stereo safe portable,Wireless,Wireless,baby pink,598,334,-44%,-2,Free Shipping
Wiresto C1 Gaming Earphones In Ear Headphones Wired Earphones Earbuds Headset Noise Cancelling Stereo Sound Bluetooth5.1 Computer Gamer,Wiresto,Earphone,Active black,1738,1159,-33%,-55,Free Shipping
PLEXTONE G30 In Ear Earphone Headphone Gaming Earphones Stereo Computer Game Headphones With Mic PC Gamer Headset for Mobile Phone PS4 New Xbox One,PLEXTONE,In-Ear,White,1800,1249,-31%,-2,Bangladesh
Realme Buds Air wireless Bluetooth Headsets in-Ear Headphones,Realme,In-Ear,Red,499,275,-45%,,Bangladesh
【New】OI J7 Earphone Gaming In Ear Headphone Headset Wired Earphones Noise Cancelling HIFI SOUND with HD Microphone-Black,【New】OI,Earphone,Black,699,449,-36%,-14,Free Shipping
Uiisii C100 In-Ear Headphones,Uiisii,Wireless,baby pink,300,189,-37%,-1,Bangladesh
KZ ZSN PRO X 1BA+1DD KZ Hybrid Earphone,KZ,In-Ear,Active black,2500,1745,-30%,,Bangladesh
Baseus 6D Stereo In-ear Earphone Headphones Wired Control Bass Sound Earbuds for 3.5mm Earphones,Baseus,Earphoone,White,2027,1019,-50%,-240,China
FLYEER Bluetooth Earphone HBQ-525 Wireless Headphones Stereo Handsfree Noise Canceling Headset with Mic for All Smart Phone,FLYEER,In-Ear,Red,2539,1493,-41%,,Free Shipping
"UGREEN HiTune Max3 Headphones Hybrid 35dB ANC Active Noise Cancelling Earphones Wireless Over Ear Bluetooth Headset, 3D Spatial Audio",UGREEN,Wireless,Black,18999,9899,-48%,,Free Shipping
buy 1 get 1 Vivo In Ear Earphone Best Sound quality with free one - White,buy,Earphone,baby pink,270,105,-61%,,Bangladesh
3C Home DIY Earphone Cable Replacement 3.5mm Male Jack to Bare End Headphone Cable Semi-finished Headset Cable for Cable Repair,3C,In-Ear,Active black,449,295,-34%,-5,China
PLEXTONE Mowi RX3 Dual Microphone 3.5mm Wired Gaming Headphones,PLEXTONE,In-Ear,White,800,510,-36%,,Bangladesh
Lenovo HE05 Bluetooth Headphones Wireless Headsets Sports,Lenovo,Earphone,Red,1500,395,-74%,,Free Shipping
Lenovo HF170 Headphones Half In-ear Wired Headset 3.5mm Jack Headphone for Smartphone,Lenovo,Wireless,Black,,300,,-1,Bangladesh
QKZ DM10  Sound Magnetic Metal Noise Cancelling Hi Fi Stereo In Ear Earphone,QKZ,In-Ear,baby pink,900,355,-61%,-10,Free Shipping
"traight-inserted in-ear headphones portable line control with wheat sports sweat-proof subwoofer headphones high quality wire, soft and durable Headphone brand new and high quality",traight-inserted,Earphoone,Active black,396,275,-31%,-1,Free Shipping
【NEW】OI J5 Earphone In Ear Headphone Headset Wired Earphones Noise Cancelling HIFI SOUND with HD Microphone Volume Control-Black,【NEW】OI,In-Ear,White,999,549,-45%,-3,Free Shipping
PLEXTONE PC780 Lightweight Gaming Headphones Extra Bass Adjustable Long Mic & Mute Button Noise Isolation Headset,PLEXTONE,Wireless,Red,2000,1199,-40%,-1,Bangladesh
Lenovo HF140 - 3.5mm Wired Headphones Metal In-ear Earphone with Mic Noise Cancelling Stereo Music Headset for Smartphone / MP3 / PC,Lenovo,Earphone,Black,700,399,-43%,-12,Bangladesh
UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - With Pouch,UiiSii,In-Ear,baby pink,500,310,-38%,-1,Bangladesh
Lenovo HF140 Wired Earphones 3.5mm Super Bass Stereo Metal In-ear Earphone with Mic Noise Cancelling Music Headsets,Lenovo,In-Ear,Active black,500,342,-32%,,Bangladesh
Wired Headphones Bass In Ear Headphone With Mic Music Earbuds 3.5mm Stereo Gaming Headset Dynamic Macaron Color Gifts,Wired,Earphone,White,190,130,-32%,,China
Lenovo HF130 Wired Headphones 3.5mm In-ear Earplug Heavy Subwoofer Stereo Sport Earphones with Mic Headset,Lenovo,Wireless,Red,500,229,-54%,,Bangladesh
Lenovo XT90 TWS bluetooth 5.0 Earphone Low Latency HiFi Bass Waterproof Sport Gaming Headphones with Noise Cancelling Mic Type-C Charging,Lenovo,In-Ear,Black,,2500,,-1,Free Shipping
Vivo SK-1V Music Earphone Voice Call Headset Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,Earphoone,baby pink,180,100,-44%,,Bangladesh
FANTECH HG11 7.1 Channel Surround Sound Gaming Headset Stereo LED Headphones (Black),FANTECH,In-Ear,Active black,3500,3150,-10%,-9,Free Shipping
SY490MV Call Center Wired Headset Wired Control USB+3.5MM Port With Microphone Telephone Operator Headphone Noise Canceling for Computer Phones Desktop Boxes,SY490MV,Wireless,White,727,519,-29%,,Free Shipping
SONY MDR-XB450 Over The Ear Extra Bass Headphone - White,SONY,Earphone,Red,285,255,-11%,-10,Bangladesh
Oraimo Vortex ORE-E23 Pure Bass In Ear Earphone With Mic,Oraimo,In-Ear,Black,150,100,-33%,,Bangladesh
Lenovo HE05X Sports Neckband Bluetooth Earphones,Lenovo,In-Ear,baby pink,950,580,-39%,-1,Bangladesh
p47  FM 17 Bluetooth Stereo Dynamic Wireless Headphones Headset- Bl,p47,Earphone,Active black,,365,,-3,Bangladesh
QKZ CK4 3.5mm Wired Headphones Dual Moving Coil Headset In-ear Sport Earbuds Heavy Bass Music,QKZ,Wireless,White,800,534,-33%,-1,Free Shipping
Oppo Ear phone Head phone For Phones 3.5mm Jack with Mic best bazz White Colour,Oppo,In-Ear,Red,,155,,-11,Free Shipping
Ecocc【In stock】 New I11Pro tws Earphones wireless Bluetooth-compatible earphone for iphone xiaomi Redmi Huawei Samsung galaxy buds earbuds Microphone mini Heavy bass Low-power listening headphones Spot delivery,Ecocc【In,Earphoone,Black,901,556,-38%,,China
QKZ CK8 HiFi Wired Earphone Dual-Dynamic Quad-core Speaker,QKZ,In-Ear,baby pink,700,350,-50%,-18,Free Shipping
ORAIMO OEP-E37 Super Bass Boost Wired Headset Earphones Price in BD,ORAIMO,Wireless,Active black,600,480,-20%,,Bangladesh
